Intersecti,Intersec_1,the_geom,NodeNumber,TurnRestri,P_X,P_Y,Street1,Street2,EditDate,created_us,created_da,last_edite,last_edi_1,GlobalID
Alewife Brook Pkwy & Matignon Rd,2,POINT (-71.1344573562213 42.402614231791816),2,,754896.31,2971954.46,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{4D34AADB-B512-40AB-9AA0-7DC14BEA486D}
Alewife Brook Pkwy & Murray Hill Rd,2,POINT (-71.13477569935233 42.40224191420831),3,,754810.91,2971818.41,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{EDE2204A-B7D0-4128-A21D-1FBBE8CD57E7}
Matignon Rd & Murray Hill Rd,2,POINT (-71.1326003367404 42.40172264812871),4,,755399.27,2971631.7,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{9F756C96-4A31-4F5E-B9E6-DC23F4DC6E9C}
Muller Ave & Murray Hill Rd,2,POINT (-71.13301219161282 42.401391629966035),8,,755288.55,2971510.59,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{71334BB8-1F44-4980-8B25-093839E50AC8}
Foch St & Gladstone St,2,POINT (-71.13455152643208 42.401298510806576),10,,754872.93,2971474.87,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{E0B8A6C2-7817-43E5-8F36-5A40F689963E}
Churchill Ave & Matignon Rd,2,POINT (-71.1318310044673 42.40108760298554),11,,755608.06,2971401.17,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{921950CB-2476-463F-B2DB-C91D15B745EE}
Foch St & Newman St,2,POINT (-71.1338932400057 42.40100417691559),13,,755051.19,2971368.37,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{63A183E1-935B-4A67-9592-C2567DE2ED55}
Muller Ave & Richard Ave,2,POINT (-71.13299893668483 42.40098351957074),14,,755292.77,2971361.88,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{100C4EC0-9505-4614-B0E3-34BF25FA91E1}
Alewife Brook Pkwy & Massachusetts Ave,2,POINT (-71.13600102202265 42.40093781622164),2205,,754481.99,2971341.75,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{9FD25511-E60C-43C5-A436-64633F87110D}
Acorn Pk & Concord Tpk,2,POINT (-71.15221745073012 42.400865881732166),2132,,750102.1,2971297.26,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{9673E11A-72F4-4739-88AC-8BD8179C8B0F}
