the_geom,SRC_DATE,SPACE_ID,EditDate,Editor,SHAPE_area,SHAPE_len
"MULTIPOLYGON (((-71.09960954462741 42.363817046427485, -71.09963683550103 42.363825538318295, -71.09960775923327 42.363876970951445, -71.09958046834136 42.36386847905385, -71.09960954462741 42.363817046427485)))",1995,COL-0004,,,162.5604,56.64478134
"MULTIPOLYGON (((-71.09960954462741 42.363817046427485, -71.09963869556363 42.36376550428996, -71.09966598641893 42.36377399617394, -71.09963683550103 42.363825538318295, -71.09960954462741 42.363817046427485)))",1995,COL-0002,,,162.9172,56.73399696
"MULTIPOLYGON (((-71.08937071393561 42.37231377523581, -71.08937688546129 42.3722923111372, -71.08947511292747 42.37230780904456, -71.08947766511716 42.37230801023826, -71.08947459984108 42.3723298421579, -71.08947049409674 42.3723295256566, -71.08937071393561 42.37231377523581)))",1995,CAMB-0753,,,226.0308,72.51015641
"MULTIPOLYGON (((-71.0892317091486 42.37229187513587, -71.08923717831242 42.37227029877328, -71.0892412084352 42.37227086197991, -71.08924191084216 42.372270974251194, -71.0893379938358 42.37228616276984, -71.08933182229752 42.37230762686638, -71.0892357392727 42.37229243834265, -71.0892317091486 42.37229187513587)))",1995,CAMB-0751,,,221.96275,71.50326479
"MULTIPOLYGON (((-71.12164923514054 42.37538323993877, -71.12169974437803 42.375341257118585, -71.12172167642787 42.37535601002065, -71.12167027866805 42.3753980448096, -71.12164923514054 42.37538323993877)))",2003,APP-0020,,,163.0391,57.01929767
"MULTIPOLYGON (((-71.0799168688763 42.37046196060668, -71.07992760268935 42.37041707920965, -71.07992939624324 42.370408908399824, -71.07995860756765 42.37041244517396, -71.07995681401742 42.37042061598423, -71.07995673800245 42.370420917555485, -71.07994600420942 42.3704657989552, -71.0799168688763 42.37046196060668)))",1995,THRD-0074,,,157.4073,55.36249542
"MULTIPOLYGON (((-71.0799042702117 42.37051460093917, -71.07991675458008 42.37046245412376, -71.0799168688763 42.37046196060668, -71.07994600420942 42.3704657989552, -71.07993340575062 42.370518411850675, -71.0799042702117 42.37051460093917)))",1995,THRD-0072,,,155.73175,54.94790433
"MULTIPOLYGON (((-71.07989144311524 42.37056820086356, -71.0799042702117 42.37051460093917, -71.07993340575062 42.370518411850675, -71.07992057849577 42.37057203921841, -71.07989144311524 42.37056820086356)))",1995,THRD-0070,,,158.65975,55.6778217
"MULTIPOLYGON (((-71.07987819709095 42.3706235829081, -71.07989144311524 42.37056820086356, -71.07992057849577 42.37057203921841, -71.07990733249619 42.370627421266285, -71.07987819709095 42.3706235829081)))",1995,THRD-0068,,,163.9088,56.98813964
"MULTIPOLYGON (((-71.0798655608098 42.370676305419686, -71.07987819709095 42.3706235829081, -71.07990733249619 42.370627421266285, -71.07989473324393 42.37068014391616, -71.0798655608098 42.370676305419686)))",1995,THRD-0066,,,156.13695,55.03013313
"MULTIPOLYGON (((-71.07985220044304 42.37073218097684, -71.0798655608098 42.370676305419686, -71.07989473324393 42.37068014391616, -71.0798813730844 42.370735992036494, -71.07985220044304 42.37073218097684)))",1995,THRD-0064,,,165.5148,57.36126158
"MULTIPOLYGON (((-71.0798397161505 42.37078430034193, -71.07985220044304 42.37073218097684, -71.0798813730844 42.370735992036494, -71.07986888863287 42.37078813884486, -71.0798397161505 42.37078430034193)))",1995,THRD-0062,,,154.47275,54.6026526
"MULTIPOLYGON (((-71.0798278780654 42.37083384263018, -71.0798397161505 42.37078430034193, -71.07986888863287 42.37078813884486, -71.07985701356444 42.3708376810009, -71.0798278780654 42.37083384263018)))",1995,THRD-0060,,,146.71835,52.67590297
"MULTIPOLYGON (((-71.14898645988369 42.37491389955511, -71.1490515142474 42.374908445260154, -71.14905483508726 42.37493024328783, -71.14898715176427 42.37493593652902, -71.14898645988369 42.37491389955511)))",1995,MTA-0680,,,144.3415,52.12364455
"MULTIPOLYGON (((-71.1490515142474 42.374908445260154, -71.1491351557296 42.37490140118079, -71.14913851360596 42.37492319931902, -71.14905483508726 42.37493024328783, -71.1490515142474 42.374908445260154)))",1995,MTA-0682,,,181.8914,61.49179931
"MULTIPOLYGON (((-71.1494229082192 42.37484605253381, -71.14948251627548 42.374828315415215, -71.14948318393884 42.374828043042875, -71.14949743670958 42.37484726750284, -71.14949680605405 42.37484753998803, -71.14949354296917 42.374848682554074, -71.14943393489676 42.37486641967829, -71.1494229082192 42.37484605253381)))",1995,MTA-0692,,,144.31235,52.08154955
"MULTIPOLYGON (((-71.14935065927551 42.374867565344594, -71.1494229082192 42.37484605253381, -71.14943393489676 42.37486641967829, -71.14936168593357 42.37488793249587, -71.14935065927551 42.374867565344594)))",1995,MTA-0690,,,168.2601,58.0715043
"MULTIPOLYGON (((-71.14927789141052 42.374889213731315, -71.14935065927551 42.374867565344594, -71.14936168593357 42.37488793249587, -71.14928891804885 42.374909580889494, -71.14927789141052 42.374889213731315)))",1995,MTA-0688,,,169.448,58.36855334
"MULTIPOLYGON (((-71.14920905938288 42.374895178007534, -71.14927703885806 42.374889458098146, -71.14927789141052 42.374889213731315, -71.14928891804885 42.374909580889494, -71.14928806549622 42.374909825256395, -71.14928035962248 42.37491128355963, -71.14921241728435 42.37491697614361, -71.14920905938288 42.374895178007534)))",1995,MTA-0686,,,158.3397,55.59852429
"MULTIPOLYGON (((-71.1491351557296 42.37490140118079, -71.14920905938288 42.374895178007534, -71.14921241728435 42.37491697614361, -71.14913851360596 42.37492319931902, -71.1491351557296 42.37490140118079)))",1995,MTA-0684,,,160.6914,56.18662355
"MULTIPOLYGON (((-71.11995578093243 42.380673547557876, -71.11998534453755 42.38067504468899, -71.11998340434428 42.380696112722255, -71.11998098917826 42.38072231059358, -71.11995146256253 42.38072081358363, -71.11995387774073 42.380694615712954, -71.11995578093243 42.380673547557876)))",1995,MASS-1626,,,138.09225,50.53206514
"MULTIPOLYGON (((-71.11996803630784 42.380549638489136, -71.11997498774194 42.38048918219117, -71.12000451194173 42.38049106335705, -71.11999752352448 42.380551519534556, -71.11996803630784 42.380549638489136)))",1995,MASS-1620,,,176.92925,60.22722078
"MULTIPOLYGON (((-71.11997498774194 42.38048918219117, -71.11998111658228 42.38043626936213, -71.12001060374638 42.38043815040426, -71.12000451194173 42.38049106335705, -71.11997498774194 42.38048918219117)))",1995,MASS-1618,,,154.855,54.70965206
"MULTIPOLYGON (((-71.11998111658228 42.38043626936213, -71.11998478641335 42.38040453261589, -71.11998478674315 42.38040447773562, -71.11998872257382 42.380371589358994, -71.12001820937822 42.38037352527944, -71.12001427356276 42.38040641365704, -71.12001060374638 42.38043815040426, -71.11998111658228 42.38043626936213)))",1995,MASS-1616,,,189.1406,63.29574715
"MULTIPOLYGON (((-71.11998872257382 42.380371589358994, -71.11999667137783 42.3803052914865, -71.12002615815157 42.38030722740496, -71.12001820937822 42.38037352527944, -71.11998872257382 42.380371589358994)))",1995,MASS-1614,,,194.0017,64.50809939
